version 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,cid,seller_cids,stuff_status,location_state,location_city,item_type,price,auction_increment,num,valid_thru,freight_payer,post_fee,ems_fee,express_fee,has_invoice,has_warranty,approve_status,has_showcase,list_time,description,cateProps,postage_id,has_discount,modified,upload_fail_msg,picture_status,auction_point,picture,video,skuProps,inputPids,inputValues,outer_id,propAlias,auto_fill,num_id,local_cid,navigation_type,user_name,syncStatus,is_lighting_consigment,is_xinpin,foodparame,features,buyareatype,global_stock_type,global_stock_country,sub_stock_type,item_size,item_weight,sell_promise,custom_design_flag,wireless_desc,barcode,sku_barcode,newprepay,subtitle
宝贝名称,宝贝类目,店铺类目,新旧程度,省,城市,出售方式,宝贝价格,加价幅度,宝贝数量,有效期,运费承担,平邮,EMS,快递,发票,保修,放入仓库,橱窗推荐,开始时间,宝贝描述,宝贝属性,邮费模版ID,会员打折,修改时间,上传状态,图片状态,返点比例,新图片,视频,销售属性组合,用户输入ID串,用户输入名-值对,商家编码,销售属性别名,代充类型,数字ID,本地ID,宝贝分类,用户名称,宝贝状态,闪电发货,新品,食品专项,尺码库,采购地,库存类型,国家地区,库存计数,物流体积,物流重量,退换货承诺,定制工具,无线详情,商品条形码,sku 条形码,7天退货,宝贝卖点
軽量フレンチダウンポケッタブルインナーブルゾン　婦人Ｓ?黒,50010850,"""""",1,海外,日本,1,775,,72,7,2,8,20,15,0,0,1,0,,#U#,20000:3346593;1627207:3232483;1627207:3232484;20509:28314;20509:28315;20509:28316;20509:28317,1153455410,0,2014/10/29 17:33,200,2;,0,1e9098c50aa33f1fad8cdf435fcb64ed:1:0:|;,,2990:9::1627207:3232483;20509:28314;2990:9::1627207:3232483;20509:28315;2990:9::1627207:3232483;20509:28316;2990:9::1627207:3232483;20509:28317;2990:9::1627207:3232484;20509:28314;2990:9::1627207:3232484;20509:28315;2990:9::1627207:3232484;20509:28316;2990:9::1627207:3232484;20509:28317;,,,,1627207:3232483:A;1627207:3232484:B;20509:28317:LL,0,0,-1,1,静爱散人,6,136,249,,mysize_tp:-1,1,2,日本,2,bulk:0.000000,0,0,,,,;;;;;;;,0,
